sfe,ssip,rfip,label
1,0,1.0,0
1,0,1.0,0
4,4,1.0,0
4,2,1.0,0
10,4,1.0,0
6,2,1.0,0
4,0,1.0,0
0,1,1.0,0
16,3,1.0,0
4,0,1.0,0
16,2,1.0,0
20,3,1.0,0
0,1,1.0,0
12,1,1.0,0
4,0,1.0,0
2,0,1.0,0
14,0,1.0,0
12,0,1.0,0
4,0,1.0,0
18,0,1.0,0
14,0,1.0,0
10,0,1.0,0
6,0,1.0,0
2,0,1.0,0
18,0,1.0,0
4,0,1.0,0
20,0,1.0,0
20,0,1.0,0
18,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
2,0,1.0,0
2,0,1.0,0
2,0,1.0,0
20,0,1.0,0
20,0,1.0,0
20,0,1.0,0
20,0,1.0,0
2,0,1.0,0
20,0,1.0,0
2,0,1.0,0
